n,base,base_nomenclature,order_no,line_no,del_no,supply_code,priority,part_number,spec_number,cage_code,part_description,demand_total_qty,uai,tail_number,variant,iwerk_customer,co_status,date_planned,ifs_delivered_date_uni,ifs_inv_closed_date,ifs_co_type,customer_no,po_num,po_status,wo_description,cust_wo_ref,rep_ind,unified_cwt,base_conus_oconus_afloat,smr_cd,created,date_released,date_reserved,date_partial_delivery,to_qty_dlvrd,squadron_name,adjusted_metric_priority,ia_code,gie_cleansed_datetime,categorization,is_tctd_demand,wait_time
875,KLUF,LUKE AFB,000000179812,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-01-22 17:28:00,2021-01-22 17:37:00,2021-01-22 19:29:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-01-22,2021-01-22 17:28:00,2021-01-22 17:28:00,null,1,null,3,J56,2021-01-22 17:28:00,GIE Demand,false,0.00625
876,KLUF,LUKE AFB,000000206027,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-08-25 20:19:00,2021-08-25 20:38:00,2021-08-25 21:48:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-08-25,2021-08-25 20:19:00,2021-08-25 20:19:00,null,1,null,2,J56,2021-08-25 20:19:00,GIE Demand,false,0.013194445
877,KLUF,LUKE AFB,000000234336,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2022-04-07 13:45:00,2022-04-07 13:53:00,2022-04-07 13:58:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2022-04-07,2022-04-07 13:45:00,2022-04-07 13:45:00,null,1,null,3,J56,2022-04-07 13:45:00,GIE Demand,false,0.0055555557
878,KLUF,LUKE AFB,000000181541,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-02-04 14:14:00,2021-02-04 14:22:00,2021-02-04 14:26:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-02-04,2021-02-04 14:14:00,2021-02-04 14:14:00,null,1,null,3,J56,2021-02-04 14:14:00,GIE Demand,false,0.0055555557
879,KLUF,LUKE AFB,000000149877,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-05-28 15:43:00,2020-05-28 16:00:00,2020-05-28 18:27:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-05-28,2020-05-28 15:43:00,2020-05-28 15:43:00,null,1,null,3,J56,2020-05-28 15:43:00,GIE Demand,false,0.011805556
880,KLUF,LUKE AFB,000000137386,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-02-20 17:09:00,2020-02-20 17:18:00,2020-02-20 17:22:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-02-20,2020-02-20 17:09:00,2020-02-20 17:09:00,null,1,null,3,J56,2020-02-20 17:09:00,GIE Demand,false,0.00625
191603,S044,NEVATIM AIR BASE,000000033388,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,IAF,Invoiced/Closed,2022-02-01 12:17:00,2022-02-01 12:48:00,2022-02-06 08:35:00,SO,IPTC,null,null,null,null,Consumable,0.02,OConUS,PAOZZN,2022-02-01,2022-02-01 12:17:00,2022-02-01 12:17:00,null,1,null,2,J85,2022-02-01 12:17:00,GIE Demand,false,0.021527778
191604,S044,NEVATIM AIR BASE,000000020352,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,IAF,Invoiced/Closed,2020-09-22 11:24:00,2020-09-22 11:41:00,2020-10-01 07:53:00,SO,IPTC,null,null,null,null,Consumable,0.01,OConUS,PAOZZN,2020-09-22,2020-09-22 11:24:00,2020-09-22 11:24:00,null,1,null,2,J85,2020-09-22 11:24:00,GIE Demand,false,0.011805556
191605,KNLC,NAS LEMOORE,000000077280,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,2022-09-07 16:29:00,2022-09-07 16:31:00,2022-09-07 16:33:00,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2022-09-07,2022-09-07 16:29:00,2022-09-07 16:29:00,null,1,null,2,J85,2022-09-07 16:29:00,GIE Demand,false,0.0013888889
191606,KNLC,NAS LEMOORE,000000060101,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,2021-10-19 19:10:00,2021-10-19 19:15:00,2021-10-19 19:18:00,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2021-10-19,2021-10-19 19:10:00,2021-10-19 19:10:00,null,1,null,2,J85,2021-10-19 19:10:00,GIE Demand,false,0.0034722222
191607,KNBC,MCAS BEAUFORT,000000126161,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2022-03-02 16:47:00,2022-03-02 20:10:00,2022-03-03 12:05:00,SO,FE3,null,null,null,null,Consumable,0.14,ConUS,PAOZZN,2022-03-02,2022-03-02 16:47:00,2022-03-02 16:47:00,null,1,null,2,J85,2022-03-02 16:47:00,GIE Demand,false,0.14097223
191608,KNLC,NAS LEMOORE,000000082334,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,2022-12-06 20:46:00,2022-12-06 20:53:00,2022-12-06 20:55:00,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2022-12-06,2022-12-06 20:46:00,2022-12-06 20:46:00,null,1,null,2,J85,2022-12-06 20:46:00,GIE Demand,false,0.0048611113
191609,KNYL,MCAS YUMA,000000101710,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2022-12-05 01:03:00,2022-12-05 03:55:00,2022-12-05 04:12:00,SO,GFA,null,null,null,null,Consumable,0.12,ConUS,PAOZZN,2022-12-05,2022-12-05 01:03:00,2022-12-05 01:03:00,null,1,null,2,J85,2022-12-05 01:03:00,GIE Demand,false,0.11944444
191610,S044,NEVATIM AIR BASE,000000036169,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,IAF,Invoiced/Closed,2022-05-03 16:51:00,2022-05-04 06:39:00,2022-05-05 08:20:00,SO,IPTC,null,null,null,null,Consumable,0.57,OConUS,PAOZZN,2022-05-03,2022-05-03 16:51:00,2022-05-03 16:51:00,null,1,null,2,J85,2022-05-03 16:51:00,GIE Demand,false,0.575
191611,KNBC,MCAS BEAUFORT,000000120224,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2021-11-05 14:40:00,2021-11-05 15:04:00,2021-11-05 15:18:00,SO,BPFF,null,null,null,null,Consumable,0.02,ConUS,PAOZZN,2021-11-05,2021-11-05 14:40:00,2021-11-05 14:40:00,null,1,null,2,J85,2021-11-05 14:40:00,GIE Demand,false,0.016666668
191612,KNLC,NAS LEMOORE,000000040068,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,2020-08-14 19:42:00,2020-08-14 19:49:00,2020-08-14 19:53:00,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2020-08-14,2020-08-14 19:42:00,2020-08-14 19:42:00,null,1,null,2,J85,2020-08-14 19:42:00,GIE Demand,false,0.0048611113
191613,KNBC,MCAS BEAUFORT,000000069167,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2019-06-18 12:07:00,2019-06-18 12:10:00,2019-06-18 12:13:00,SO,BPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2019-06-18,2019-06-18 12:07:00,2019-06-18 12:07:00,null,1,null,2,J85,2019-06-18 12:07:00,GIE Demand,false,0.0020833334
191614,EGYM,RAF MARHAM,000000033075,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,RAF,Invoiced/Closed,2021-07-05 13:59:00,2021-07-05 14:25:00,2021-07-05 14:30:00,SO,MRM,null,null,null,null,Consumable,0.02,OConUS,PAOZZN,2021-07-05,2021-07-05 13:59:00,2021-07-05 13:59:00,null,1,null,2,J85,2021-07-05 13:59:00,GIE Demand,false,0.018055556
191615,YWLM,RAAF WILLIAMTOWN,000000049182,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,RAAF,Invoiced/Closed,2022-10-18 03:22:00,2022-10-18 09:46:00,2022-10-18 12:09:00,SO,77SQ,null,null,null,null,Consumable,0.27,OConUS,PAOZZN,2022-10-18,2022-10-18 03:22:00,2022-10-18 03:22:00,null,1,null,2,J85,2022-10-18 03:22:00,GIE Demand,false,0.26666668
191616,EGYM,RAF MARHAM,000000011866,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,RAF,Invoiced/Closed,2019-09-17 16:27:00,2019-09-17 20:50:00,2019-09-17 21:30:00,SO,MRM,null,null,null,null,Consumable,0.18,OConUS,PAOZZN,2019-09-17,2019-09-17 16:27:00,2019-09-17 16:27:00,null,1,null,2,J85,2019-09-17 16:27:00,GIE Demand,false,0.18263888
191617,KNBC,MCAS BEAUFORT,000000124976,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2022-02-08 20:10:00,2022-02-08 20:29:00,2022-02-08 20:36:00,SO,BPFF,null,null,null,null,Consumable,0.01,ConUS,PAOZZN,2022-02-08,2022-02-08 20:10:00,2022-02-08 20:10:00,null,1,null,2,J85,2022-02-08 20:10:00,GIE Demand,false,0.013194445
191618,KNLC,NAS LEMOORE,000000070377,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,2022-05-12 19:28:00,2022-05-12 19:33:00,2022-05-12 19:35:00,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2022-05-12,2022-05-12 19:28:00,2022-05-12 19:28:00,null,1,null,2,J85,2022-05-12 19:28:00,GIE Demand,false,0.0034722222
191619,KNYL,MCAS YUMA,000000031401,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2017-09-01 19:12:00,2017-09-01 23:23:00,2017-09-01 23:26:00,SO,GG3,null,null,null,null,Consumable,0.17,ConUS,PAOZZN,2017-09-01,2017-09-01 19:12:00,2017-09-01 19:12:00,null,1,null,2,J85,2017-09-01 19:12:00,GIE Demand,false,0.17430556
191620,KNBC,MCAS BEAUFORT,000000101463,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2021-02-01 18:09:00,2021-02-01 18:15:00,2021-02-01 18:19:00,SO,BPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2021-02-01,2021-02-01 18:09:00,2021-02-01 18:09:00,null,1,null,2,J85,2021-02-01 18:09:00,GIE Demand,false,0.004166667
191621,KNBC,MCAS BEAUFORT,000000083372,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2020-04-20 15:23:00,2020-04-20 15:34:00,2020-04-20 16:02:00,SO,BPFF,null,null,null,null,Consumable,0.01,ConUS,PAOZZN,2020-04-20,2020-04-20 15:23:00,2020-04-20 15:23:00,null,1,null,2,J85,2020-04-20 15:23:00,GIE Demand,false,0.007638889
191622,S044,NEVATIM AIR BASE,000000043925,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,IAF,Invoiced/Closed,2023-01-25 11:55:00,2023-01-29 10:46:00,2023-01-30 07:06:00,SO,I116,null,null,null,null,Consumable,3.93,OConUS,PAOZZN,2023-01-25,2023-01-25 11:55:00,2023-01-25 11:55:00,null,1,null,2,J85,2023-01-25 11:55:00,GIE Demand,false,3.9520833
191623,S118,ANG BURLINGTON,000000004949,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,Vermont ANG,Invoiced/Closed,2020-04-27 15:44:00,2020-04-29 12:45:00,2020-04-30 11:42:00,SO,158S,null,null,null,null,Consumable,1.87,ConUS,PAOZZN,2020-04-27,2020-04-27 15:44:00,2020-04-27 15:44:00,null,1,null,2,J85,2020-04-27 15:44:00,GIE Demand,false,1.8756944
191624,KNBC,MCAS BEAUFORT,000000076900,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2019-12-04 12:00:00,2019-12-04 12:04:00,2019-12-04 12:13:00,SO,BPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2019-12-04,2019-12-04 12:00:00,2019-12-04 12:00:00,null,1,null,2,J85,2019-12-04 12:00:00,GIE Demand,false,0.0027777778
191625,KNLC,NAS LEMOORE,000000035265,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,2020-05-20 15:29:00,2020-05-20 15:38:00,2020-05-20 15:41:00,SO,LPFF,null,null,null,null,Consumable,0.01,ConUS,PAOZZN,2020-05-20,2020-05-20 15:29:00,2020-05-20 15:29:00,null,1,null,2,J85,2020-05-20 15:29:00,GIE Demand,false,0.00625
191626,EGYM,RAF MARHAM,000000029172,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,RAF,Invoiced/Closed,2021-03-08 11:01:00,2021-03-08 19:26:00,2021-03-08 20:03:00,SO,MRM,null,null,null,null,Consumable,0.35,OConUS,PAOZZN,2021-03-08,2021-03-08 11:01:00,2021-03-08 11:01:00,null,1,null,2,J85,2021-03-08 11:01:00,GIE Demand,false,0.35069445
191627,RJOI,MCAS IWAKUNI,000000007652,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2018-04-02 12:07:00,2018-04-02 21:28:00,2018-04-03 00:48:00,SO,GGB,null,null,null,null,Consumable,0.39,OConUS,PAOZZN,2018-04-02,2018-04-02 12:07:00,2018-04-02 12:07:00,null,1,null,2,J85,2018-04-02 12:07:00,GIE Demand,false,0.38958332
191628,KNBC,MCAS BEAUFORT,000000094180,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2020-10-07 18:39:00,2020-10-07 19:07:00,2020-10-07 19:20:00,SO,BPFF,null,null,null,null,Consumable,0.02,ConUS,PAOZZN,2020-10-07,2020-10-07 18:39:00,2020-10-07 18:39:00,null,1,null,2,J85,2020-10-07 18:39:00,GIE Demand,false,0.019444445
191629,YWLM,RAAF WILLIAMTOWN,000000047220,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,RAAF,Invoiced/Closed,2022-09-14 22:30:00,2022-09-14 23:10:00,2022-09-14 23:13:00,SO,WPFF,null,null,null,null,Consumable,0.03,OConUS,PAOZZN,2022-09-14,2022-09-14 22:30:00,2022-09-14 22:30:00,null,1,null,2,J85,2022-09-14 22:30:00,GIE Demand,false,0.027777778
191630,KNBC,MCAS BEAUFORT,000000124935,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2022-02-08 12:17:00,2022-02-08 12:20:00,2022-02-08 12:27:00,SO,BPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2022-02-08,2022-02-08 12:17:00,2022-02-08 12:17:00,null,1,null,2,J85,2022-02-08 12:17:00,GIE Demand,false,0.0020833334
191631,KNLC,NAS LEMOORE,000000072774,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,2022-06-27 18:09:00,2022-06-27 18:11:00,2022-06-27 18:13:00,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2022-06-27,2022-06-27 18:09:00,2022-06-27 18:09:00,null,1,null,2,J85,2022-06-27 18:09:00,GIE Demand,false,0.0013888889
191632,KNBC,MCAS BEAUFORT,000000093776,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2020-10-02 10:45:00,2020-10-02 10:54:00,2020-10-02 11:24:00,SO,BPFF,null,null,null,null,Consumable,0.01,ConUS,PAOZZN,2020-10-02,2020-10-02 10:45:00,2020-10-02 10:45:00,null,1,null,2,J85,2020-10-02 10:45:00,GIE Demand,false,0.00625
191633,KNBC,MCAS BEAUFORT,000000133375,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2022-08-03 17:18:00,2022-08-03 17:45:00,2022-08-03 17:55:00,SO,BPFF,null,null,null,null,Consumable,0.02,ConUS,PAOZZN,2022-08-03,2022-08-03 17:18:00,2022-08-03 17:18:00,null,1,null,2,J85,2022-08-03 17:18:00,GIE Demand,false,0.01875
191634,KNBC,MCAS BEAUFORT,000000127490,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2022-04-11 14:19:00,2022-04-11 14:24:00,2022-04-11 14:37:00,SO,BPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2022-04-11,2022-04-11 14:19:00,2022-04-11 14:19:00,null,1,null,2,J85,2022-04-11 14:19:00,GIE Demand,false,0.0034722222
191635,S044,NEVATIM AIR BASE,000000028093,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,IAF,Invoiced/Closed,2021-07-14 08:54:00,2021-07-14 09:22:00,2021-07-14 09:26:00,SO,IPTC,null,null,null,null,Consumable,0.02,OConUS,PAOZZN,2021-07-14,2021-07-14 08:54:00,2021-07-14 08:54:00,null,1,null,2,J85,2021-07-14 08:54:00,GIE Demand,false,0.019444445
191636,KNBC,MCAS BEAUFORT,000000100199,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2021-01-20 12:16:00,2021-01-20 13:40:00,2021-01-20 16:30:00,SO,BPFF,null,null,null,null,Consumable,0.06,ConUS,PAOZZN,2021-01-20,2021-01-20 12:16:00,2021-01-20 12:16:00,null,1,null,2,J85,2021-01-20 12:16:00,GIE Demand,false,0.058333334
191637,KNLC,NAS LEMOORE,000000070378,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,2022-05-12 19:29:00,2022-05-12 19:33:00,2022-05-12 19:35:00,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2022-05-12,2022-05-12 19:29:00,2022-05-12 19:29:00,null,1,null,2,J85,2022-05-12 19:29:00,GIE Demand,false,0.0027777778
191638,YWLM,RAAF WILLIAMTOWN,000000006212,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,RAAF,Invoiced/Closed,2020-01-30 23:56:00,2020-01-31 00:02:00,2020-01-31 00:04:00,SO,3SQN,null,null,null,null,Consumable,0,OConUS,PAOZZN,2020-01-30,2020-01-30 23:56:00,2020-01-30 23:56:00,null,1,null,2,J85,2020-01-30 23:56:00,GIE Demand,false,0.004166667
191639,S044,NEVATIM AIR BASE,000000025568,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,IAF,Invoiced/Closed,2021-05-02 11:52:00,2021-05-03 08:49:00,2021-05-03 15:07:00,SO,IPTC,null,null,null,null,Consumable,0.87,OConUS,PAOZZN,2021-05-02,2021-05-02 11:52:00,2021-05-02 11:52:00,null,1,null,2,J85,2021-05-02 11:52:00,GIE Demand,false,0.87291664
191640,KNBC,MCAS BEAUFORT,000000050742,1,1,Invent Order,1,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,2018-05-25 15:21:00,2018-05-25 16:29:00,2018-05-25 18:29:00,SO,FE3,null,null,null,null,Consumable,0.05,ConUS,PAOZZN,2018-05-25,2018-05-25 15:21:00,2018-05-25 15:21:00,null,1,null,1,J85,2018-05-25 15:21:00,GIE Demand,false,0.047222223
881,KLUF,LUKE AFB,000000233888,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2022-04-05 13:32:00,2022-04-05 13:41:00,2022-04-05 13:45:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2022-04-05,2022-04-05 13:32:00,2022-04-05 13:32:00,null,1,null,3,J56,2022-04-05 13:32:00,GIE Demand,false,0.00625
882,KLUF,LUKE AFB,000000229429,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2022-03-02 14:19:00,2022-03-02 14:29:00,2022-03-02 14:36:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2022-03-02,2022-03-02 14:19:00,2022-03-02 14:19:00,null,1,null,3,J56,2022-03-02 14:19:00,GIE Demand,false,0.0069444445
883,KLUF,LUKE AFB,000000158194,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-07-29 14:19:00,2020-07-29 14:36:00,2020-07-29 16:03:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-07-29,2020-07-29 14:19:00,2020-07-29 14:19:00,null,1,null,3,J56,2020-07-29 14:19:00,GIE Demand,false,0.011805556
884,KLUF,LUKE AFB,000000170060,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-10-22 14:52:00,2020-10-22 15:00:00,2020-10-22 15:03:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-10-22,2020-10-22 14:52:00,2020-10-22 14:52:00,null,1,null,3,J56,2020-10-22 14:52:00,GIE Demand,false,0.0055555557
885,KLUF,LUKE AFB,000000274597,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2023-02-07 13:18:00,2023-02-07 13:26:00,2023-02-07 13:33:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2023-02-07,2023-02-07 13:18:00,2023-02-07 13:18:00,null,1,null,3,J56,2023-02-07 13:18:00,GIE Demand,false,0.0055555557
886,KLUF,LUKE AFB,000000263572,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2022-11-01 22:50:00,2022-11-01 23:00:00,2022-11-01 23:06:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2022-11-01,2022-11-01 22:50:00,2022-11-01 22:50:00,null,1,null,3,J56,2022-11-01 22:50:00,GIE Demand,false,0.0069444445
887,KLUF,LUKE AFB,000000112787,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2019-07-18 17:43:00,2019-07-18 17:56:00,2019-07-18 18:05:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2019-07-18,2019-07-18 17:43:00,2019-07-18 17:43:00,null,1,null,3,J56,2019-07-18 17:43:00,GIE Demand,false,0.009027778
888,KLUF,LUKE AFB,000000175272,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2020-12-08 16:07:00,2020-12-08 16:17:00,2020-12-08 16:20:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2020-12-08,2020-12-08 16:07:00,2020-12-08 16:07:00,null,1,null,3,J56,2020-12-08 16:07:00,GIE Demand,false,0.0069444445
889,KLUF,LUKE AFB,000000122591,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2019-10-08 16:28:00,2019-10-08 16:36:00,2019-10-08 17:20:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2019-10-08,2019-10-08 16:28:00,2019-10-08 16:28:00,null,1,null,3,J56,2019-10-08 16:28:00,GIE Demand,false,0.0055555557
890,KLUF,LUKE AFB,000000124535,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2019-10-22 16:48:00,2019-10-22 17:04:00,2019-10-22 18:16:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2019-10-22,2019-10-22 16:48:00,2019-10-22 16:48:00,null,1,null,3,J56,2019-10-22 16:48:00,GIE Demand,false,0.011111111
891,KLUF,LUKE AFB,000000194485,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2021-05-19 14:00:00,2021-05-19 14:12:00,2021-05-19 14:16:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2021-05-19,2021-05-19 14:00:00,2021-05-19 14:00:00,null,1,null,3,J56,2021-05-19 14:00:00,GIE Demand,false,0.008333334
892,KLUF,LUKE AFB,000000066275,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,2018-05-04 16:32:00,2018-05-04 16:44:00,2018-05-04 16:55:00,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,2018-05-04,2018-05-04 16:32:00,2018-05-04 16:32:00,null,1,null,3,J56,2018-05-04 16:32:00,GIE Demand,false,0.008333334
