n,base,base_nomenclature,order_no,line_no,del_no,supply_code,priority,part_number,spec_number,cage_code,part_description,demand_total_qty,uai,tail_number,variant,iwerk_customer,co_status,date_planned,ifs_delivered_date_uni,ifs_inv_closed_date,ifs_co_type,customer_no,po_num,po_status,wo_description,cust_wo_ref,rep_ind,unified_cwt,base_conus_oconus_afloat,smr_cd,created,date_released,date_reserved,date_partial_delivery,to_qty_dlvrd,squadron_name,adjusted_metric_priority,ia_code,gie_cleansed_datetime,categorization,is_tctd_demand,target
968,KLUF,LUKE AFB,202611,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,7/30/2021 19:30,7/30/2021 19:40,7/30/2021 23:14,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,7/30/2021,7/30/2021 19:31,7/30/2021 19:31,null,1,null,2,J56,7/30/2021 19:30,GIE Demand,FALSE,0.006944445
969,KLUF,LUKE AFB,214898,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,11/3/2021 16:20,11/3/2021 16:32,11/3/2021 16:45,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,11/3/2021,11/3/2021 16:20,11/3/2021 16:20,null,1,null,3,J56,11/3/2021 16:20,GIE Demand,FALSE,0.008333334
970,KLUF,LUKE AFB,133781,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/22/2020 23:29,1/22/2020 23:40,1/22/2020 23:49,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/22/2020,1/22/2020 23:29,1/22/2020 23:29,null,1,null,3,J56,1/22/2020 23:29,GIE Demand,FALSE,0.007638889
971,KLUF,LUKE AFB,209242,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,9/21/2021 13:49,9/21/2021 14:04,9/21/2021 14:06,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,9/21/2021,9/21/2021 13:49,9/21/2021 13:49,null,1,null,3,J56,9/21/2021 13:49,GIE Demand,FALSE,0.010416667
972,KLUF,LUKE AFB,268323,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,12/12/2022 13:19,12/12/2022 13:29,12/12/2022 13:38,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,12/12/2022,12/12/2022 13:19,12/12/2022 13:19,null,1,null,3,J56,12/12/2022 13:19,GIE Demand,FALSE,0.006944445
973,KLUF,LUKE AFB,125969,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,10/31/2019 18:15,10/31/2019 18:36,10/31/2019 18:40,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,10/31/2019,10/31/2019 18:15,10/31/2019 18:15,null,1,null,2,J56,10/31/2019 18:15,GIE Demand,FALSE,0.014583333
974,KLUF,LUKE AFB,202597,1,1,Invent Order,2,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,7/30/2021 19:32,7/30/2021 19:40,7/30/2021 23:22,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,7/30/2021,7/30/2021 19:33,7/30/2021 19:33,null,1,null,2,J56,7/30/2021 19:32,GIE Demand,FALSE,0.005555556
975,KLUF,LUKE AFB,126741,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,11/6/2019 16:53,11/6/2019 17:08,11/6/2019 17:55,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,11/6/2019,11/6/2019 16:53,11/6/2019 16:53,null,1,null,3,J56,11/6/2019 16:53,GIE Demand,FALSE,0.010416667
976,KLUF,LUKE AFB,131853,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,1/8/2020 3:09,1/8/2020 3:19,1/8/2020 3:22,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,1/8/2020,1/8/2020 3:09,1/8/2020 3:09,null,1,null,3,J56,1/8/2020 3:09,GIE Demand,FALSE,0.006944445
977,KLUF,LUKE AFB,213816,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,10/27/2021 13:56,10/27/2021 14:05,10/27/2021 14:07,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,10/27/2021,10/27/2021 13:56,10/27/2021 13:56,null,1,null,3,J56,10/27/2021 13:56,GIE Demand,FALSE,0.00625
978,KLUF,LUKE AFB,229431,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,3/2/2022 14:20,3/2/2022 14:29,3/2/2022 14:36,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,3/2/2022,3/2/2022 14:20,3/2/2022 14:20,null,1,null,3,J56,3/2/2022 14:20,GIE Demand,FALSE,0.00625
979,KLUF,LUKE AFB,234335,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,4/7/2022 13:45,4/7/2022 13:53,4/7/2022 13:58,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,4/7/2022,4/7/2022 13:45,4/7/2022 13:45,null,1,null,3,J56,4/7/2022 13:45,GIE Demand,FALSE,0.005555556
980,KLUF,LUKE AFB,128869,1,1,Invent Order,3,2614658-4,2GLV16003-0004,55284,"WHEEL,LANDING GEAR",1,null,null,null,USAF,Invoiced/Closed,11/27/2019 2:53,11/27/2019 3:09,11/27/2019 3:12,SO,56FW,null,null,null,null,Repairable,0.01,ConUS,PAOODT,11/27/2019,11/27/2019 2:53,11/27/2019 2:53,null,1,null,3,J56,11/27/2019 2:53,GIE Demand,FALSE,0.011111111
191646,KNLC,NAS LEMOORE,84175,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,1/20/2023 18:40,1/20/2023 18:45,1/20/2023 19:17,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,1/20/2023,1/20/2023 18:40,1/20/2023 18:40,null,1,null,2,J85,1/20/2023 18:40,GIE Demand,FALSE,0.003472222
191647,RJOI,MCAS IWAKUNI,51841,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,12/7/2022 4:57,12/7/2022 6:55,12/12/2022 0:09,SO,GF7,null,null,null,null,Consumable,0.08,OConUS,PAOZZN,12/7/2022,12/7/2022 4:57,12/7/2022 4:57,null,1,null,2,J85,12/7/2022 4:57,GIE Demand,FALSE,0.08194444
191648,KNLC,NAS LEMOORE,64896,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,2/16/2022 18:37,2/16/2022 18:38,2/16/2022 18:39,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2/16/2022,2/16/2022 18:37,2/16/2022 18:37,null,1,null,2,J85,2/16/2022 18:37,GIE Demand,FALSE,0.000694444
191649,S044,NEVATIM AIR BASE,36180,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,IAF,Invoiced/Closed,5/3/2022 16:52,5/4/2022 6:39,5/5/2022 8:20,SO,IPTC,null,null,null,null,Consumable,0.57,OConUS,PAOZZN,5/3/2022,5/3/2022 16:52,5/3/2022 16:52,null,1,null,2,J85,5/3/2022 16:52,GIE Demand,FALSE,0.57430553
191650,KNYL,MCAS YUMA,32746,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,10/12/2017 19:36,10/12/2017 20:55,10/12/2017 21:03,SO,GE3,null,null,null,null,Consumable,0.05,ConUS,PAOZZN,10/12/2017,10/12/2017 19:36,10/12/2017 19:36,null,1,null,2,J85,10/12/2017 19:36,GIE Demand,FALSE,0.05486111
191651,KNBC,MCAS BEAUFORT,135163,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,9/13/2022 17:10,9/13/2022 17:14,9/13/2022 17:16,SO,BPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,9/13/2022,9/13/2022 17:10,9/13/2022 17:10,null,1,null,2,J85,9/13/2022 17:10,GIE Demand,FALSE,0.002777778
191652,YWLM,RAAF WILLIAMTOWN,53569,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,RAAF,Invoiced/Closed,1/30/2023 2:33,1/30/2023 7:26,1/30/2023 8:37,SO,3SQN,null,null,null,null,Consumable,0.2,OConUS,PAOZZN,1/30/2023,1/30/2023 2:33,1/30/2023 2:33,null,1,null,2,J85,1/30/2023 2:33,GIE Demand,FALSE,0.20347223
191653,KNBC,MCAS BEAUFORT,50743,1,1,Invent Order,1,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,5/25/2018 15:21,5/25/2018 16:29,5/25/2018 17:34,SO,FE3,null,null,null,null,Consumable,0.05,ConUS,PAOZZN,5/25/2018,5/25/2018 15:21,5/25/2018 15:21,null,1,null,1,J85,5/25/2018 15:21,GIE Demand,FALSE,0.047222223
191654,ENOL,ØRLAND AIR STATION,19608,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,RNoAF,Invoiced/Closed,12/12/2022 12:19,12/12/2022 12:37,12/12/2022 13:42,SO,132L,null,null,null,null,Consumable,0.01,OConUS,PAOZZN,12/12/2022,12/12/2022 12:19,12/12/2022 12:19,null,1,null,2,J85,12/12/2022 12:19,GIE Demand,FALSE,0.0125
191655,KNBC,MCAS BEAUFORT,106341,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,4/12/2021 17:13,4/12/2021 17:21,4/12/2021 17:37,SO,BPFF,null,null,null,null,Consumable,0.01,ConUS,PAOZZN,4/12/2021,4/12/2021 17:13,4/12/2021 17:13,null,1,null,2,J85,4/12/2021 17:13,GIE Demand,FALSE,0.005555556
191656,EGYM,RAF MARHAM,40548,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,RAF,Invoiced/Closed,2/28/2022 11:29,2/28/2022 11:37,2/28/2022 11:45,SO,MRM,null,null,null,null,Consumable,0.01,OConUS,PAOZZN,2/28/2022,2/28/2022 11:29,2/28/2022 11:29,null,1,null,2,J85,2/28/2022 11:29,GIE Demand,FALSE,0.005555556
191657,KNBC,MCAS BEAUFORT,139472,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,12/19/2022 18:33,12/19/2022 18:39,12/19/2022 19:01,SO,BPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,12/19/2022,12/19/2022 18:33,12/19/2022 18:33,null,1,null,2,J85,12/19/2022 18:33,GIE Demand,FALSE,0.004166667
191658,S044,NEVATIM AIR BASE,31102,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,IAF,Invoiced/Closed,11/24/2021 13:43,11/24/2021 14:52,11/25/2021 7:40,SO,IPTC,null,null,null,null,Consumable,0.05,OConUS,PAOZZN,11/24/2021,11/24/2021 13:43,11/24/2021 13:43,null,1,null,2,J85,11/24/2021 13:43,GIE Demand,FALSE,0.047916666
191659,KNBC,MCAS BEAUFORT,83353,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,4/20/2020 15:14,4/20/2020 15:35,4/20/2020 16:03,SO,BPFF,null,null,null,null,Consumable,0.01,ConUS,PAOZZN,4/20/2020,4/20/2020 15:14,4/20/2020 15:14,null,1,null,2,J85,4/20/2020 15:14,GIE Demand,FALSE,0.014583333
191660,KNBC,MCAS BEAUFORT,133237,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,8/1/2022 19:45,8/1/2022 19:48,8/1/2022 19:53,SO,BPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,8/1/2022,8/1/2022 19:45,8/1/2022 19:45,null,1,null,2,J85,8/1/2022 19:45,GIE Demand,FALSE,0.002083333
191661,KNBC,MCAS BEAUFORT,135908,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,9/28/2022 12:43,9/28/2022 13:13,9/28/2022 17:46,SO,FE3,null,null,null,null,Consumable,0.02,ConUS,PAOZZN,9/28/2022,9/28/2022 12:43,9/28/2022 12:43,null,1,null,2,J85,9/28/2022 12:43,GIE Demand,FALSE,0.020833334
191662,YWLM,RAAF WILLIAMTOWN,54172,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,RAAF,Invoiced/Closed,2/9/2023 5:10,2/9/2023 5:25,2/9/2023 5:33,SO,3SQN,null,null,null,null,Consumable,0.01,OConUS,PAOZZN,2/9/2023,2/9/2023 5:10,2/9/2023 5:10,null,1,null,2,J85,2/9/2023 5:10,GIE Demand,FALSE,0.010416667
191663,RJOI,MCAS IWAKUNI,7642,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,4/2/2018 12:07,4/2/2018 22:06,4/3/2018 0:48,SO,GGB,null,null,null,null,Consumable,0.41,OConUS,PAOZZN,4/2/2018,4/2/2018 12:07,4/2/2018 12:07,null,1,null,2,J85,4/2/2018 12:07,GIE Demand,FALSE,0.41597223
191664,YWLM,RAAF WILLIAMTOWN,48491,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,RAAF,Invoiced/Closed,10/5/2022 4:28,10/5/2022 4:32,10/5/2022 5:10,SO,3SQN,null,null,null,null,Consumable,0,OConUS,PAOZZN,10/5/2022,10/5/2022 4:28,10/5/2022 4:28,null,1,null,2,J85,10/5/2022 4:28,GIE Demand,FALSE,0.002777778
191665,KNYL,MCAS YUMA,95146,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,7/19/2022 16:06,7/19/2022 17:24,7/19/2022 19:23,SO,GE3,null,null,null,null,Consumable,0.05,ConUS,PAOZZN,7/19/2022,7/19/2022 16:06,7/19/2022 16:06,null,1,null,2,J85,7/19/2022 16:06,GIE Demand,FALSE,0.054166667
191666,KNBC,MCAS BEAUFORT,91900,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,9/2/2020 15:01,9/2/2020 16:00,9/2/2020 17:20,SO,BPFF,null,null,null,null,Consumable,0.04,ConUS,PAOZZN,9/2/2020,9/2/2020 15:01,9/2/2020 15:01,null,1,null,2,J85,9/2/2020 15:01,GIE Demand,FALSE,0.04097222
191667,S044,NEVATIM AIR BASE,5643,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,IAF,Invoiced/Closed,4/23/2018 6:15,4/23/2018 6:40,4/23/2018 7:03,SO,IPTC,null,null,null,null,Consumable,0.02,OConUS,PAOZZN,4/23/2018,4/23/2018 6:15,4/23/2018 6:15,null,1,null,2,J85,4/23/2018 6:15,GIE Demand,FALSE,0.017361112
191668,KNLC,NAS LEMOORE,82157,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,12/5/2022 16:06,12/5/2022 16:32,12/5/2022 16:37,SO,LPFF,null,null,null,null,Consumable,0.02,ConUS,PAOZZN,12/5/2022,12/5/2022 16:06,12/5/2022 16:06,null,1,null,2,J85,12/5/2022 16:06,GIE Demand,FALSE,0.018055556
191669,KNYL,MCAS YUMA,67482,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,9/28/2020 4:09,9/28/2020 15:55,9/28/2020 19:34,SO,GJ3,null,null,null,null,Consumable,0.49,ConUS,PAOZZN,9/28/2020,9/28/2020 4:09,9/28/2020 4:09,null,1,null,2,J85,9/28/2020 4:09,GIE Demand,FALSE,0.49027777
191670,RJOI,MCAS IWAKUNI,49545,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,10/7/2022 1:17,10/7/2022 4:40,10/7/2022 4:52,SO,GGB,null,null,null,null,Consumable,0.14,OConUS,PAOZZN,10/7/2022,10/7/2022 1:17,10/7/2022 1:17,null,1,null,2,J85,10/7/2022 1:17,GIE Demand,FALSE,0.14097223
191671,KNYL,MCAS YUMA,101713,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,12/5/2022 1:14,12/5/2022 3:54,12/5/2022 4:11,SO,GFA,null,null,null,null,Consumable,0.11,ConUS,PAOZZN,12/5/2022,12/5/2022 1:14,12/5/2022 1:14,null,1,null,2,J85,12/5/2022 1:14,GIE Demand,FALSE,0.11111111
191672,KNBC,MCAS BEAUFORT,119517,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,10/26/2021 17:08,10/26/2021 17:18,10/26/2021 17:22,SO,BPFF,null,null,null,null,Consumable,0.01,ConUS,PAOZZN,10/26/2021,10/26/2021 17:08,10/26/2021 17:08,null,1,null,2,J85,10/26/2021 17:08,GIE Demand,FALSE,0.006944445
191673,KNBC,MCAS BEAUFORT,120176,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,11/5/2021 14:20,11/5/2021 15:04,11/5/2021 15:19,SO,BPFF,null,null,null,null,Consumable,0.03,ConUS,PAOZZN,11/5/2021,11/5/2021 14:20,11/5/2021 14:20,null,1,null,2,J85,11/5/2021 14:20,GIE Demand,FALSE,0.030555556
191674,KNBC,MCAS BEAUFORT,76898,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,12/4/2019 12:00,12/4/2019 12:04,12/4/2019 12:13,SO,BPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,12/4/2019,12/4/2019 12:00,12/4/2019 12:00,null,1,null,2,J85,12/4/2019 12:00,GIE Demand,FALSE,0.002777778
191675,KNLC,NAS LEMOORE,64891,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,2/16/2022 18:24,2/16/2022 18:28,2/16/2022 18:30,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2/16/2022,2/16/2022 18:24,2/16/2022 18:24,null,1,null,2,J85,2/16/2022 18:24,GIE Demand,FALSE,0.002777778
191676,KNLC,NAS LEMOORE,62462,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,12/14/2021 17:25,12/14/2021 17:31,12/14/2021 17:36,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,12/14/2021,12/14/2021 17:25,12/14/2021 17:25,null,1,null,2,J85,12/14/2021 17:25,GIE Demand,FALSE,0.004166667
191677,S118,ANG BURLINGTON,4948,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,Vermont ANG,Invoiced/Closed,4/27/2020 15:44,4/29/2020 12:45,4/30/2020 11:42,SO,158S,null,null,null,null,Consumable,1.87,ConUS,PAOZZN,4/27/2020,4/27/2020 15:44,4/27/2020 15:44,null,1,null,2,J85,4/27/2020 15:44,GIE Demand,FALSE,1.8756944
191678,KNYL,MCAS YUMA,22662,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,9/22/2016 1:38,9/22/2016 2:57,9/22/2016 2:59,SO,GGB,null,null,null,null,Consumable,0.05,ConUS,PAOZZN,9/22/2016,9/22/2016 1:38,9/22/2016 1:38,null,1,null,2,J85,9/22/2016 1:38,GIE Demand,FALSE,0.05486111
191679,ENOL,ØRLAND AIR STATION,17558,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,RNoAF,Invoiced/Closed,8/30/2022 11:35,8/30/2022 11:52,10/10/2022 9:47,SO,132L,null,null,null,null,Consumable,0.01,OConUS,PAOZZN,8/30/2022,8/30/2022 11:35,8/30/2022 11:35,null,1,null,2,J85,8/30/2022 11:35,GIE Demand,FALSE,0.011805556
191680,KNLC,NAS LEMOORE,71616,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,6/7/2022 16:05,6/7/2022 16:09,6/7/2022 16:11,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,6/7/2022,6/7/2022 16:05,6/7/2022 16:05,null,1,null,2,J85,6/7/2022 16:05,GIE Demand,FALSE,0.002777778
191681,RJOI,MCAS IWAKUNI,7653,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,4/2/2018 12:07,4/2/2018 21:28,4/3/2018 0:48,SO,GGB,null,null,null,null,Consumable,0.39,OConUS,PAOZZN,4/2/2018,4/2/2018 12:07,4/2/2018 12:07,null,1,null,2,J85,4/2/2018 12:07,GIE Demand,FALSE,0.38958332
191682,S044,NEVATIM AIR BASE,22507,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,IAF,Invoiced/Closed,12/23/2020 9:33,12/23/2020 9:46,12/23/2020 10:02,SO,IPTC,null,null,null,null,Consumable,0.01,OConUS,PAOZZN,12/23/2020,12/23/2020 9:33,12/23/2020 9:33,null,1,null,2,J85,12/23/2020 9:33,GIE Demand,FALSE,0.009027778
191683,KNLC,NAS LEMOORE,71587,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,6/7/2022 15:07,6/7/2022 15:12,6/7/2022 15:14,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,6/7/2022,6/7/2022 15:07,6/7/2022 15:07,null,1,null,2,J85,6/7/2022 15:07,GIE Demand,FALSE,0.003472222
191684,YWLM,RAAF WILLIAMTOWN,37643,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,RAAF,Invoiced/Closed,3/8/2022 1:14,3/8/2022 22:17,3/8/2022 23:05,SO,77SQ,null,null,null,null,Consumable,0.87,OConUS,PAOZZN,3/8/2022,3/8/2022 1:14,3/8/2022 1:14,null,1,null,2,J85,3/8/2022 1:14,GIE Demand,FALSE,0.87708336
191685,KNLC,NAS LEMOORE,85013,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,2/1/2023 18:01,2/1/2023 18:03,2/1/2023 18:31,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,2/1/2023,2/1/2023 18:01,2/1/2023 18:01,null,1,null,2,J85,2/1/2023 18:01,GIE Demand,FALSE,0.001388889
191686,YWLM,RAAF WILLIAMTOWN,53793,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,RAAF,Invoiced/Closed,2/1/2023 5:14,2/1/2023 8:52,2/1/2023 22:43,SO,77SQ,null,null,null,null,Consumable,0.15,OConUS,PAOZZN,2/1/2023,2/1/2023 5:14,2/1/2023 5:14,null,1,null,2,J85,2/1/2023 5:14,GIE Demand,FALSE,0.15138888
191687,KNLC,NAS LEMOORE,57285,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USN,Invoiced/Closed,8/19/2021 16:16,8/19/2021 16:22,8/19/2021 16:26,SO,LPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,8/19/2021,8/19/2021 16:16,8/19/2021 16:16,null,1,null,2,J85,8/19/2021 16:16,GIE Demand,FALSE,0.004166667
191688,KNBC,MCAS BEAUFORT,126139,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,3/2/2022 12:54,3/2/2022 13:35,3/2/2022 13:40,SO,BPFF,null,null,null,null,Consumable,0.03,ConUS,PAOZZN,3/2/2022,3/2/2022 12:54,3/2/2022 12:54,null,1,null,2,J85,3/2/2022 12:54,GIE Demand,FALSE,0.028472222
191689,S044,NEVATIM AIR BASE,28098,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,IAF,Invoiced/Closed,7/14/2021 8:56,7/14/2021 9:23,7/14/2021 9:27,SO,IPTC,null,null,null,null,Consumable,0.02,OConUS,PAOZZN,7/14/2021,7/14/2021 8:56,7/14/2021 8:56,null,1,null,2,J85,7/14/2021 8:56,GIE Demand,FALSE,0.01875
191690,KNBC,MCAS BEAUFORT,77826,1,1,Invent Order,2,987-0011-502,2ZCH62731-0005,0EFD0,"VISOR,G02 W G3 TRIM",1,null,null,null,USMC,Invoiced/Closed,12/17/2019 18:27,12/17/2019 18:29,12/17/2019 18:31,SO,BPFF,null,null,null,null,Consumable,0,ConUS,PAOZZN,12/17/2019,12/17/2019 18:27,12/17/2019 18:27,null,1,null,2,J85,12/17/2019 18:27,GIE Demand,FALSE,0.001388889
